Index,Width,Length,Treatment,Genotype,Plant,Repeat
28,3.143152,10.645152,UV,blus1-3,2,2
29,3.064536,10.074752,UV,blus1-3,2,2
30,2.540512,7.621784,UV,blus1-3,2,2
31,2.751312,7.479432,UV,blus1-3,2,2
32,4.454576,10.53504,UV,blus1-3,2,2
33,3.023368,9.636288,UV,blus1-3,2,2
34,3.6456,11.517864,UV,blus1-3,2,2
35,3.451168,13.236008,UV,blus1-3,2,2
48,2.47008,8.642552,WL,Col-0,2,2
49,2.99212,8.711992,WL,Col-0,2,2
50,2.486944,11.04096,WL,Col-0,2,2
51,1.925968,12.680736,WL,Col-0,2,2
52,1.722856,6.260512,WL,Col-0,2,2
53,1.829496,12.550784,WL,Col-0,2,2
54,0.762104,14.599264,WL,Col-0,2,2
55,0.614544,12.912864,WL,Col-0,2,2
